staff,week,leg_power,core_rotation,wrist_speed,grip_force,repeatability,grip_skill,stamina,focus,mental,guts,fatigue,condition,injury_risk,mph,rpm,bauer,sigma_m,f_force,ceiling_mph
부실 스태프,2,49.134,74.436,57.571,53.152,51.925,50.674,46.742,51.729,58.43,52.592,0.51,0.8,0.018,81.487,1936.475,23.764,0.306,1.0,94.603
부실 스태프,3,50.006,74.491,58.312,53.984,52.163,51.527,47.242,52.171,58.727,52.852,0.773,0.8,0.059,80.69,1922.843,23.83,0.337,1.0,94.603
부실 스태프,4,50.56,74.392,58.214,53.886,52.064,52.068,47.156,52.068,58.625,52.75,0.328,0.8,0.053,82.216,1960.569,23.847,0.283,1.0,94.603
부실 스태프,5,51.531,74.467,58.115,53.787,52.337,53.013,47.721,52.571,58.963,53.047,0.431,0.8,0.049,81.962,1957.135,23.879,0.295,1.0,94.603
부실 스태프,6,52.448,74.535,58.921,53.688,52.858,53.903,47.635,53.051,59.286,53.331,0.548,0.8,0.057,81.657,1955.588,23.949,0.308,1.0,94.603
부실 스태프,7,53.219,74.535,59.597,53.589,53.079,53.805,47.549,53.458,59.56,53.574,0.425,0.8,0.05,82.139,1969.294,23.975,0.293,1.0,94.603
부실 스태프,8,54.11,74.535,60.374,54.509,53.337,54.684,47.463,53.931,59.88,53.857,0.479,0.8,0.049,82.035,1972.461,24.044,0.299,1.0,94.603
부실 스태프,9,54.925,74.535,61.08,55.349,53.577,54.585,47.971,54.223,60.077,54.033,0.589,0.8,0.061,81.742,1967.688,24.072,0.311,1.0,94.603
부실 스태프,10,54.826,74.535,61.673,56.057,53.782,55.278,48.399,54.597,60.329,54.258,0.601,0.8,0.065,81.693,1970.853,24.125,0.312,1.0,94.603
부실 스태프,11,55.502,74.535,62.242,56.739,53.982,55.944,48.313,54.719,60.411,54.332,0.507,0.8,0.059,82.067,1984.091,24.177,0.3,1.0,94.603
부실 스태프,12,56.262,74.535,62.878,57.504,54.437,56.691,48.227,55.133,60.691,54.583,0.693,0.8,0.083,81.51,1975.312,24.234,0.322,1.0,94.603
부실 스태프,13,56.821,74.535,63.343,58.067,54.775,57.24,48.141,55.339,60.83,54.708,0.821,0.8,0.12,81.131,1969.564,24.276,0.336,1.0,94.603
부실 스태프,14,56.722,74.535,63.245,58.495,54.905,57.657,48.054,55.577,60.991,54.853,0.473,0.8,0.102,82.29,1998.669,24.288,0.294,1.0,94.603
부실 스태프,15,57.491,74.535,63.146,59.255,55.137,58.397,47.968,56.001,61.278,55.113,0.423,0.8,0.088,82.524,2006.373,24.312,0.288,1.0,94.603
부실 스태프,16,58.291,74.535,63.047,60.044,55.382,59.164,47.882,56.299,61.479,55.295,0.356,0.8,0.076,82.822,2015.707,24.338,0.279,1.0,94.603
부실 스태프,17,59.095,74.535,63.751,60.834,55.633,59.065,48.434,56.754,61.787,55.576,0.536,0.8,0.081,82.289,2005.031,24.366,0.3,1.0,94.603
부실 스태프,18,58.996,74.535,63.652,61.481,55.842,59.714,48.889,57.006,61.958,55.732,0.42,0.8,0.068,82.671,2016.052,24.386,0.286,1.0,94.603
부실 스태프,19,59.764,74.535,63.553,61.382,56.083,60.448,48.803,56.904,61.856,55.63,0.243,0.8,0.059,83.334,2034.236,24.411,0.264,1.0,94.603
부실 스태프,20,60.53,74.535,63.454,61.284,56.329,61.177,48.717,57.202,62.058,55.815,0.213,0.8,0.051,83.505,2040.395,24.435,0.26,1.0,94.603
부실 스태프,21,61.277,74.535,64.146,62.04,56.572,61.884,48.631,57.499,62.259,56.0,0.302,0.8,0.043,83.271,2039.59,24.493,0.27,1.0,94.603
부실 스태프,22,62.003,74.535,64.047,61.941,57.056,62.569,49.167,57.939,62.559,56.276,0.535,0.8,0.055,82.549,2023.74,24.516,0.297,1.0,94.603
부실 스태프,23,62.598,74.535,64.614,62.563,57.457,62.47,49.609,58.306,62.808,56.506,0.861,0.8,0.102,81.502,1999.855,24.537,0.334,1.0,94.603
부실 스태프,24,62.917,74.535,64.917,62.895,57.566,62.778,49.523,58.505,62.943,56.632,0.847,0.8,0.139,81.578,2003.802,24.563,0.332,1.0,94.603
부실 스태프,25,62.819,74.535,65.226,62.797,57.678,62.679,49.437,58.641,63.036,56.719,0.394,0.8,0.118,83.098,2041.982,24.573,0.279,1.0,94.603
부실 스태프,26,63.503,74.535,65.861,63.51,57.912,63.339,49.955,59.068,63.326,56.99,0.635,0.8,0.128,82.347,2028.02,24.628,0.306,1.0,94.603
부실 스태프,27,63.985,74.535,65.762,63.411,58.08,63.24,49.869,59.271,63.464,57.12,0.352,0.8,0.111,83.345,2051.905,24.619,0.273,1.0,94.603
부실 스태프,28,64.634,74.535,66.379,63.312,58.311,63.88,49.783,59.55,63.654,57.298,0.322,0.8,0.095,83.506,2060.302,24.673,0.269,1.0,94.603
부실 스태프,29,64.535,74.535,66.28,63.213,58.539,63.782,50.294,59.964,63.937,57.565,0.231,0.8,0.081,83.805,2066.969,24.664,0.258,1.0,94.603
부실 스태프,30,64.437,74.535,66.879,63.115,58.993,64.403,50.793,60.373,64.216,57.83,0.39,0.8,0.071,83.257,2057.758,24.716,0.275,1.0,94.603
